photo_id,site,depth,net,preservation_method,family,subgroup,standard_length,caudal_fin_length,stage,damaged,not_calibrated
N01_2_F_007_LAB,1,0,2,formalin,labrid,B,3.57,0.32,FLE,,
N01_2_F_007_LAB,1,0,2,formalin,labrid,F,3.71,0.53,FLE,,
N01_2_F_007_LAB,1,0,2,formalin,labrid,B,4.59,0.26,FLE,,
N01_2_F_007_LAB,1,0,2,formalin,labrid,D,4.41,0,PRE,,
EZ02_2_F_001_SYD,2,50,2,formalin,synodontid,A,11.72,1.15,FLE,,
EZ02_2_F_002_LAB_SCA,2,50,2,formalin,labrid,B,5.72,1.01,FLE,,
EZ02_2_F_002_LAB_SCA,2,50,2,formalin,labrid,B,6.87,1.38,FLE,,
EZ02_2_F_002_LAB_SCA,2,50,2,formalin,scarid,A,8.53,1.5,FLE,,
EZ02_2_F_003_POM,2,50,2,formalin,pomacentrid,A,5.75,1.76,FLE,,
EZ02_3_E_002_LAB,2,100,3,ethanol,labrid,B,5.25,0.56,POS,,
EZ02_3_E_002_LAB,2,100,3,ethanol,labrid,G,6.14,1.17,POS,,
EZ02_3_E_002_LAB,2,100,3,ethanol,labrid,H,4.72,0.64,POS,,
EZ02_3_E_001_LAB,2,100,3,ethanol,labrid,B,5.08,0.87,POS,,
EZ02_3_F_001_SYD,2,100,3,formalin,synodontid,A,3.38,0,PRE,,
EZ02_4_F_001_SCA,2,50,4,formalin,scarid,A,7.85,1.71,POS,,
EZ02_4_F_001_SCA,2,50,4,formalin,scarid,A,5.15,0.25,FLE,,
EZ02_4_F_001_SCA,2,50,4,formalin,scarid,A,7.7,1.09,POS,,
EZ02_4_F_002_POM,2,50,4,formalin,pomacentrid,B,6.21,2.11,POS,,
EZ02_4_F_002_POM,2,50,4,formalin,pomacentrid,B,3.37,1,FLE,,
EZ02_4_F_002_POM,2,50,4,formalin,pomacentrid,B,6.46,1.89,POS,,
EZ02_4_F_003_POM,2,50,4,formalin,pomacentrid,A,3.27,0,PRE,,
EZ02_4_F_003_POM,2,50,4,formalin,pomacentrid,A,2.78,0,PRE,,
EZ02_4_F_003_POM,2,50,4,formalin,pomacentrid,A,2.9,0,PRE,,
EZ02_4_F_003_POM,2,50,4,formalin,pomacentrid,A,2.83,0,PRE,,
EZ02_4_F_004_SYD,2,50,4,formalin,synodontid,A,11.32,0.85,POS,,
EZ02_4_F_004_SYD,2,50,4,formalin,synodontid,A,6.11,0,PRE,,
EZ02_4_F_005_LAB,2,50,4,formalin,labrid,A,5.76,1.11,POS,,
EZ02_4_F_005_LAB,2,50,4,formalin,labrid,K,4.99,1.04,FLE,,
EZ02_4_F_005_LAB,2,50,4,formalin,labrid,B,5.16,1.08,FLE,,
EZ02_4_F_005_LAB,2,50,4,formalin,labrid,B,2.16,0,PRE,,
EZ02_4_F_005_LAB,2,50,4,formalin,labrid,H,3.63,0.76,FLE,,
EZ02_4_F_005_LAB,2,50,4,formalin,labrid,B,1.82,0,PRE,,
EZ02_4_F_005_LAB,2,50,4,formalin,labrid,A,6.19,1.39,FLE,,
EZ02_4_F_005_LAB,2,50,4,formalin,labrid,H,5.73,1.63,POS,,
EZ02_4_F_006_SCO,2,50,4,formalin,scorpaenid,A,3.34,0.59,FLE,,
EZ02_4_F_007_MUL,2,50,4,formalin,mullid,A,6.53,1.27,POS,,
EZ02_4_F_007_MUL,2,50,4,formalin,mullid,A,3.34,0,PRE,,
EZ02_4_F_007_MUL,2,50,4,formalin,mullid,A,2.32,0,PRE,,
EZ02_4_F_007_MUL,2,50,4,formalin,mullid,A,2.41,0,PRE,,
EZ02_4_F_007_MUL,2,50,4,formalin,mullid,A,2.77,0,PRE,,
EZ02_4_F_008_SER,2,50,4,formalin,serranid,A,1.64,0,PRE,,
EZ02_4_F_008_SER,2,50,4,formalin,serranid,A,2.64,0,PRE,,
EZ02_4_F_008_SER,2,50,4,formalin,serranid,A,2.7,0,PRE,,
EZ02_4_F_008_SER,2,50,4,formalin,serranid,A,3.12,0,PRE,,
EZ02_4_F_008_SER,2,50,4,formalin,serranid,A,1.89,0,PRE,,
EZ02_4_F_008_SER,2,50,4,formalin,serranid,A,2.4,0,PRE,,
EZ02_4_F_008_SER,2,50,4,formalin,serranid,A,2.69,0,PRE,,
EZ02_4_F_008_SER,2,50,4,formalin,serranid,A,2.04,0,PRE,,
EZ02_4_F_008_SER,2,50,4,formalin,serranid,A,2.68,0,PRE,,
EZ02_4_F_009_TRI,2,50,4,formalin,triglid,A,2.12,0,PRE,,
EZ02_4_F_009_TRI,2,50,4,formalin,triglid,A,2.5,0,PRE,,
