Order,Family,Species,Occurrence,FishBase name,Name
Perciformes,Chaetodontidae,Forcipiger flavissimus,native ,Longnose butterfly fish ,Forceps fish 
Perciformes,Chaetodontidae,Hemitaurichthys polylepis,native ,Pyramid butterflyfish ,Pyramid butterflyfish 
Perciformes,Chaetodontidae,Heniochus acuminatus,native ,Pennant coralfish ,Longfin bannerfish 
Perciformes,Chaetodontidae,Heniochus chrysostomus,native ,Threeband pennantfish ,Pennant bannerfish 
Perciformes,Chaetodontidae,Heniochus diphreutes,native ,False moorish idol ,Schooling bannerfish 
Perciformes,Chaetodontidae,Heniochus monoceros,native ,Masked bannerfish ,Masked bannerfish 
Perciformes,Chaetodontidae,Parachaetodon ocellatus,native ,Sixspine butterflyfish ,Ocellate butterflyfish 
Perciformes,Cheilodactylidae,Cheilodactylus fuscus,native ,Red morwong ,Red morwong 
Perciformes,Cheilodactylidae,Cheilodactylus nigripes,native ,Magpie perch ,Magpie perch 
Perciformes,Cheilodactylidae,Cheilodactylus vestitus,native ,Crested morwong ,Crested morwong 
Perciformes,Cheilodactylidae,Dactylophora nigricans,native ,Dusky morwong ,Dusky morwong 
Perciformes,Chironemidae,Chironemus maculosus,native ,Silver spot ,Silver spot 
Perciformes,Chironemidae,Chironemus marmoratus,native ,Kelpfish ,Eastern kelpfish 
Perciformes,Cirrhitidae,Cirrhitichthys aprinus,native ,Spotted hawkfish ,Blotched hawkfish 
Perciformes,Cirrhitidae,Cirrhitichthys falco,native ,Dwarf hawkfish ,Dwarf hawkfish 
Perciformes,Cirrhitidae,Cirrhitichthys oxycephalus,native ,Coral hawkfish ,Spotted hawkfish 
Perciformes,Cirrhitidae,Cyprinocirrhites polyactis,native ,Swallowtail hawkfish ,Lyretail hawkfish 
Perciformes,Cirrhitidae,Notocirrhitus splendens,native ,Splendid hawkfish ,Splendid hawkfish 
Perciformes,Cirrhitidae,Paracirrhites forsteri,native ,Blackside hawkfish ,Freckled hawkfish 
Clupeiformes,Clupeidae,Sardinella gibbosa,native ,Goldstripe sardinella ,Tembang 
Anguilliformes,Congridae,Ariosoma scheelei,native ,Tropical conger ,Tropical conger 
Anguilliformes,Congridae,Conger verreauxi,native ,Conger ,Southern conger 
Anguilliformes,Congridae,Conger wilsoni,native ,Cape conger ,Eastern conger 
