HABITAT,PATCH_NUM,REGION,,,,,,,,,,
Reef,547,NSW09,,,,,,,,,,
Reef,550,NSW09,,,,,,,,,,
Other,551,NSW09,,,,,,,,,,
Reef,554,NSW09,,,,,,,,,,
Reef,555,NSW09,,,,,,,,,,
Reef,556,NSW09,,,,,,,,,,
Other,559,NSW09,,,,,,,,,,
Reef,562,NSW09,,,,,,,,,,
Other,565,NSW09,,,,,,,,,,
Other,567,NSW09,,,,,,,,,,
Reef,569,NSW10,,,,,,,,,,
Other,571,NSW10,,,,,,,,,,
Reef,573,NSW10,,,,,,,,,,
Other,575,NSW10,,,,,,,,,,
Reef,578,NSW10,,,,,,,,,,
Reef,579,NSW10,,,,,,,,,,
Other,581,NSW10,,,,,,,,,,
Other,586,NSW10,,,,,,,,,,
Reef,588,NSW10,,,,,,,,,,
Reef,589,NSW10,,,,,,,,,,
Other,590,NSW10,,,,,,,,,,
Other,597,NSW10,,,,,,,,,,
Reef,598,NSW10,,,,,,,,,,
Reef,600,NSW10,,,,,,,,,,
Other,602,NSW10,,,,,,,,,,
Reef,605,NSW10,,,,,,,,,,
Reef,606,NSW10,,,,,,,,,,
Other,608,NSW10,,,,,,,,,,
Reef,610,NSW10,,,,,,,,,,
Reef,612,NSW10,,,,,,,,,,
Other,614,NSW11,,,,,,,,,,
Other,617,NSW11,,,,,,,,,,
Reef,618,NSW11,,,,,,,,,,
Reef,623,NSW11,,,,,,,,,,
Other,625,NSW11,,,,,,,,,,
Reef,629,NSW11,,,,,,,,,,
Other,631,NSW11,,,,,,,,,,
Other,632,NSW11,,,,,,,,,,
Reef,633,NSW11,,,,,,,,,,
Reef,637,NSW11,,,,,,,,,,
Other,638,NSW11,,,,,,,,,,
Reef,642,NSW11,,,,,,,,,,
Other,648,NSW11,,,,,,,,,,
Reef,649,NSW11,,,,,,,,,,
Other,650,NSW11,,,,,,,,,,
Reef,652,NSW11,,,,,,,,,,
Reef,655,NSW11,,,,,,,,,,
Other,656,NSW11,,,,,,,,,,
Reef,662,NSW11,,,,,,,,,,
Other,663,NSW11,,,,,,,,,,
Reef,665,NSW11,,,,,,,,,,
Other,668,NSW11,,,,,,,,,,
Other,670,NSW11,,,,,,,,,,
Reef,673,NSW11,,,,,,,,,,
Reef,676,NSW11,,,,,,,,,,
Other,678,NSW12,,,,,,,,,,
Reef,680,NSW12,,,,,,,,,,
Reef,681,NSW12,,,,,,,,,,
Reef,684,NSW12,,,,,,,,,,
Other,686,NSW12,,,,,,,,,,
Other,687,NSW12,,,,,,,,,,
Reef,691,NSW12,,,,,,,,,,
Reef,692,NSW12,,,,,,,,,,
Reef,696,NSW12,,,,,,,,,,
Other,697,NSW12,,,,,,,,,,
Reef,699,NSW12,,,,,,,,,,
Other,700,NSW12,,,,,,,,,,
Reef,706,NSW12,,,,,,,,,,
Other,707,NSW12,,,,,,,,,,
Reef,709,NSW12,,,,,,,,,,
Other,711,NSW12,,,,,,,,,,
Other,716,NSW12,,,,,,,,,,
Other,722,NSW12,,,,,,,,,,
Reef,723,NSW12,,,,,,,,,,
Reef,724,NSW12,,,,,,,,,,
Other,726,NSW12,,,,,,,,,,
Reef,728,NSW12,,,,,,,,,,
Other,730,NSW13,,,,,,,,,,
Other,732,NSW13,,,,,,,,,,
Reef,733,NSW13,,,,,,,,,,
Other,737,NSW13,,,,,,,,,,
Reef,740,NSW13,,,,,,,,,,
Other,743,NSW13,,,,,,,,,,
Reef,746,NSW13,,,,,,,,,,
Other,748,NSW14,,,,,,,,,,
Reef,751,NSW14,,,,,,,,,,
Reef,753,NSW14,,,,,,,,,,
Other,757,NSW14,,,,,,,,,,
Reef,759,NSW14,,,,,,,,,,
Other,760,NSW14,,,,,,,,,,
Reef,765,NSW14,,,,,,,,,,
Other,766,NSW14,,,,,,,,,,
Other,771,NSW14,,,,,,,,,,
Reef,773,NSW15,,,,,,,,,,
Other,778,NSW15,,,,,,,,,,
Reef,781,NSW15,,,,,,,,,,
Other,782,NSW15,,,,,,,,,,
Reef,783,NSW15,,,,,,,,,,
Reef,787,NSW15,,,,,,,,,,
Other,789,NSW15,,,,,,,,,,
Reef,796,NSW15,,,,,,,,,,
Other,797,NSW15,,,,,,,,,,
Reef,800,NSW15,,,,,,,,,,
Reef,804,NSW15,,,,,,,,,,
Other,806,NSW15,,,,,,,,,,
Reef,807,NSW15,,,,,,,,,,
Other,809,NSW15,,,,,,,,,,
Reef,812,NSW15,,,,,,,,,,
Reef,814,NSW15,,,,,,,,,,
Other,818,NSW15,,,,,,,,,,
Other,823,NSW15,,,,,,,,,,
Reef,825,NSW15,,,,,,,,,,
Reef,828,NSW15,,,,,,,,,,
Other,829,NSW15,,,,,,,,,,
Reef,831,NSW15,,,,,,,,,,
Other,833,NSW15,,,,,,,,,,
Other,834,NSW15,,,,,,,,,,
Reef,835,NSW15,,,,,,,,,,
Reef,839,NSW15,,,,,,,,,,
Other,843,NSW16,,,,,,,,,,
Reef,844,NSW16,,,,,,,,,,
